year,month,member_casual,rideable_type,count_members,avg_ride_length
2020,9,casual,docked_bike,171774,45:29.3
2020,9,casual,electric_bike,58918,23:16.6
2020,9,member,docked_bike,232830,15:59.5
2020,9,member,electric_bike,69434,14:30.1
2020,10,casual,docked_bike,79405,41:45.1
2020,10,casual,electric_bike,65122,19:47.8
2020,10,member,docked_bike,155169,15:19.9
2020,10,member,electric_bike,87044,12:29.5
2020,11,casual,docked_bike,46013,44:58.4
2020,11,casual,electric_bike,42086,20:25.8
2020,11,member,docked_bike,105569,14:32.1
2020,11,member,electric_bike,66048,12:23.0
2020,12,casual,classic_bike,11319,28:42.8
2020,12,casual,docked_bike,4939,04:04.2
2020,12,casual,electric_bike,13739,16:13.9
2020,12,member,classic_bike,59297,13:28.1
2020,12,member,docked_bike,7801,13:00.3
2020,12,member,electric_bike,34044,11:56.8
2021,1,casual,classic_bike,8259,27:16.6
2021,1,casual,docked_bike,2105,18:42.4
2021,1,casual,electric_bike,7753,14:36.4
2021,1,member,classic_bike,53440,13:39.7
2021,1,member,docked_bike,1,02:38.0
2021,1,member,electric_bike,25274,11:46.4
2021,2,casual,classic_bike,5695,51:10.5
2021,2,casual,docked_bike,1271,06:08.3
2021,2,casual,electric_bike,3165,17:35.8
2021,2,member,classic_bike,29317,22:24.0
2021,2,member,electric_bike,10174,13:45.5
2021,3,casual,classic_bike,91054,33:33.9
2021,3,casual,docked_bike,31314,29:44.3
2021,3,casual,electric_bike,45696,21:32.9
2021,3,member,classic_bike,214034,14:20.3
2021,3,member,electric_bike,74890,13:18.2
2021,4,casual,classic_bike,70776,34:17.3
2021,4,casual,docked_bike,24714,29:39.8
2021,4,casual,electric_bike,41111,21:29.9
2021,4,member,classic_bike,143840,15:07.5
2021,4,member,electric_bike,56784,14:11.7
2021,5,casual,classic_bike,123950,35:00.2
2021,5,casual,docked_bike,43353,33:43.0
2021,5,casual,electric_bike,89613,22:24.6
2021,5,member,classic_bike,185143,15:21.1
2021,5,member,electric_bike,89574,13:42.8
2021,6,casual,classic_bike,188242,33:28.1
2021,6,casual,docked_bike,51716,46:18.4
2021,6,casual,electric_bike,130720,21:37.9
2021,6,member,classic_bike,246774,15:25.9
2021,6,member,electric_bike,112138,13:50.4
2021,7,casual,classic_bike,241482,30:36.6
2021,7,casual,docked_bike,57698,24:30.5
2021,7,casual,electric_bike,142868,21:17.2
2021,7,member,classic_bike,265416,14:39.1
2021,7,member,electric_bike,114933,13:51.9
2021,8,casual,classic_bike,229982,29:39.1
2021,8,casual,docked_bike,45065,02:34.0
2021,8,casual,electric_bike,137615,21:01.8
2021,8,member,classic_bike,273029,14:28.6
2021,8,member,electric_bike,118632,13:58.7
