"","member_casual","day_of_week","number_of_rides","average_duration","max_duration"
"1","casual","Sunday",181293,59.6900897993855,143936.75
"2","casual","Monday",103296,56.2047820502891,120795.833333333
"3","casual","Tuesday",90510,59.9393324862814,125367.7
"4","casual","Wednesday",92457,61.9776982813632,126781.2
"5","casual","Thursday",102679,61.3830778445447,156450.4
"6","casual","Friday",122404,62.897251859961,132324.133333333
"7","casual","Saturday",209543,55.5318973512199,135279.75
"8","member","Sunday",267965,15.332910268132,48512.9333333333
"9","member","Monday",472196,14.0428761573584,136727.3
"10","member","Tuesday",508445,13.7690457833853,150943.9
"11","member","Wednesday",500329,13.7333274039016,93812.9833333333
"12","member","Thursday",484177,13.7321300543672,100476.7
"13","member","Friday",452790,13.7421751069296,80671.6833333333
"14","member","Saturday",287958,16.1488953828915,80091.5166666667
